distance_km,num_stops,traffic,weather,pickup_hour,day_of_week,package_size,delivery_experience_years,delivery_time_min
15.9,1,moderate,rainy,21,1,small,6,53.5
9.79,3,moderate,rainy,14,4,large,0,61.1
17.14,0,low,sunny,14,2,small,10,42.7
20.46,1,low,rainy,20,3,small,2,48.4
2.45,0,moderate,sunny,14,1,medium,0,13.7
0.53,2,heavy,sunny,11,5,medium,8,12.9
6.76,4,heavy,sunny,7,1,small,8,52.6
26.89,2,moderate,sunny,11,0,medium,9,79.0
19.57,1,heavy,rainy,9,5,medium,3,90.9
5.57,2,heavy,sunny,11,2,small,3,40.3
26.76,3,heavy,sunny,15,0,small,7,75.4
14.36,0,heavy,snowy,14,4,large,10,70.1
14.54,0,low,windy,9,1,small,10,40.9
28.1,1,low,sunny,13,6,small,4,87.5
2.25,5,moderate,windy,13,6,small,7,33.2
6.85,4,moderate,sunny,7,3,medium,9,38.1
17.78,0,heavy,windy,11,3,large,8,66.0
6.27,1,moderate,sunny,17,3,small,6,28.7
20.55,2,low,sunny,7,4,medium,1,61.0
6.82,1,heavy,snowy,11,6,medium,6,51.2
3.43,5,low,sunny,14,4,small,1,28.7
6.61,5,heavy,rainy,9,0,medium,4,61.4
12.97,1,low,sunny,16,1,large,6,30.5
5.7,0,moderate,sunny,17,4,large,0,28.6
4.47,1,moderate,windy,12,2,medium,4,37.4
25.88,3,low,sunny,10,3,small,3,64.3
9.95,4,low,windy,18,2,small,1,48.8
11.14,2,low,windy,10,4,small,7,44.9
2.13,1,moderate,sunny,9,1,medium,8,20.3
11.04,1,moderate,sunny,7,0,small,9,23.1
8.31,0,heavy,sunny,8,1,medium,7,33.5
18.51,0,low,sunny,20,4,medium,2,43.4
6.56,2,moderate,sunny,21,4,small,1,16.5
26.71,3,low,sunny,15,5,large,9,79.2
27.93,0,heavy,rainy,20,0,small,0,86.0
3.45,1,heavy,sunny,17,0,small,4,21.1
3.67,5,very_heavy,rainy,13,0,medium,4,72.0
3.9,5,heavy,sunny,17,3,small,1,66.8
18.78,3,moderate,sunny,13,4,small,6,64.9
4.1,3,moderate,sunny,21,1,large,8,31.7
25.65,3,moderate,sunny,19,3,large,9,83.6
22.75,2,heavy,rainy,19,0,medium,5,111.0
24.68,1,moderate,sunny,14,4,small,4,66.6
16.02,2,moderate,rainy,14,3,small,2,72.3
29.9,4,heavy,rainy,8,0,small,0,109.0
1.8,3,heavy,sunny,16,0,small,9,37.7
12.34,4,very_heavy,windy,8,4,large,9,93.2
10.06,3,low,windy,15,6,small,10,37.2
28.49,0,low,sunny,8,5,medium,1,58.8
17.52,3,moderate,windy,14,3,small,4,62.8
24.28,5,moderate,sunny,18,3,medium,7,114.3
5.53,3,moderate,rainy,11,5,small,9,28.2
29.37,3,low,sunny,16,5,small,4,78.1
15.21,1,heavy,rainy,10,6,small,1,88.4
15.06,4,low,rainy,11,2,large,10,54.6
29.14,2,moderate,snowy,9,3,medium,0,84.5
11.73,1,heavy,snowy,9,0,medium,7,64.5
12.23,2,moderate,sunny,12,1,small,4,30.1
17.75,0,moderate,rainy,8,2,medium,0,70.9
4.28,5,low,sunny,20,5,medium,5,33.4
9.97,4,low,sunny,18,3,small,4,39.8
6.2,1,heavy,sunny,10,4,medium,4,43.5
3.55,4,moderate,windy,20,6,large,1,33.9
26.05,0,low,rainy,12,3,large,7,87.1
17.89,2,very_heavy,sunny,14,2,large,3,87.9
11.08,3,moderate,snowy,17,5,small,1,69.5
12.56,0,heavy,rainy,18,2,small,4,69.9
13.23,4,moderate,sunny,7,2,small,2,50.0
19.18,4,very_heavy,sunny,11,6,small,5,127.6
27.84,3,low,rainy,12,3,small,5,99.0
28.02,1,low,rainy,15,1,small,8,88.5
12.05,4,heavy,sunny,20,5,medium,10,47.9
10.21,2,heavy,sunny,13,4,medium,0,57.8
13.81,4,moderate,sunny,13,5,medium,0,58.4
17.25,3,low,sunny,8,2,large,4,65.5
14.12,0,moderate,sunny,14,5,small,0,53.1
19.93,0,heavy,sunny,14,6,small,9,79.5
16.85,0,heavy,sunny,16,1,medium,8,62.0
9.96,0,moderate,rainy,19,1,medium,4,44.2
10.7,1,low,sunny,15,3,small,10,25.9
11.67,0,moderate,sunny,7,5,large,5,50.4
3.29,5,heavy,sunny,19,0,small,6,40.9
5.4,5,moderate,windy,14,3,medium,8,34.7
21.83,1,moderate,sunny,14,0,large,6,77.2
11.98,1,very_heavy,sunny,20,6,small,7,47.3
6.83,4,low,sunny,15,5,medium,2,39.2
17.1,3,moderate,rainy,18,6,small,5,75.8
22.79,3,moderate,sunny,20,1,small,8,76.3
8.09,5,moderate,sunny,14,5,small,10,48.8
24.89,3,heavy,windy,21,2,medium,2,100.8
27.86,4,moderate,rainy,9,0,medium,0,72.4
18.12,3,moderate,sunny,20,3,large,6,56.9
20.23,3,low,sunny,19,3,medium,0,80.3
2.05,1,heavy,windy,8,3,small,7,20.1
28.39,3,low,windy,9,5,medium,4,83.5
12.08,5,low,rainy,7,1,small,8,56.6
27.76,2,moderate,rainy,11,4,medium,1,97.1
17.58,0,moderate,windy,21,1,small,0,55.9
0.64,3,very_heavy,windy,8,6,medium,2,54.1
1.64,4,heavy,sunny,7,3,large,0,47.2
20.57,5,heavy,snowy,13,5,small,1,119.9
17.1,3,moderate,rainy,12,1,medium,8,66.1
1.28,4,moderate,sunny,16,2,medium,7,17.4
22.43,1,very_heavy,sunny,16,6,small,6,102.1
25.64,2,moderate,sunny,19,1,small,4,85.4
15.14,2,heavy,rainy,13,3,medium,2,78.5
14.24,1,moderate,rainy,13,2,small,9,46.1
0.66,4,low,sunny,7,2,small,9,23.6
23.71,5,moderate,rainy,21,4,medium,2,87.9
10.26,1,low,sunny,10,5,medium,9,37.0
26.42,0,low,sunny,15,3,small,6,52.1
11.51,4,low,sunny,20,4,large,3,49.2
17.17,5,low,rainy,16,0,large,2,97.3
8.48,5,moderate,sunny,16,1,large,6,43.0
5.24,1,heavy,sunny,9,5,medium,0,28.8
23.36,4,moderate,sunny,17,4,small,3,102.4
15.15,4,heavy,rainy,9,0,small,7,81.2
16.33,4,moderate,windy,17,6,large,5,75.1
28.98,4,low,rainy,15,2,large,1,84.1
28.93,5,low,rainy,14,2,medium,1,89.1
25.74,2,heavy,sunny,17,3,medium,7,72.6
6.03,0,moderate,sunny,17,2,small,9,22.5
18.03,1,heavy,windy,10,3,medium,7,48.7
26.41,5,moderate,sunny,12,1,small,1,108.6
11.55,5,heavy,sunny,14,0,medium,7,75.3
3.48,0,heavy,sunny,9,6,medium,3,34.9
24.42,2,very_heavy,rainy,12,5,medium,6,156.9
14.71,1,low,sunny,7,2,small,6,53.2
17.15,1,very_heavy,sunny,13,5,medium,9,76.9
29.47,3,moderate,rainy,10,5,small,9,93.1
18.41,3,heavy,sunny,10,4,small,0,105.7
13.04,2,moderate,sunny,19,5,small,0,46.5
11.41,2,moderate,rainy,9,6,small,10,54.3
12.82,3,moderate,snowy,8,5,small,3,74.3
3.99,4,heavy,sunny,11,1,small,0,37.1
23.95,0,low,sunny,7,5,small,2,38.5
25.21,0,moderate,sunny,20,1,small,5,78.8
8.89,2,moderate,sunny,21,3,small,9,27.3
9.46,2,heavy,windy,19,0,medium,10,64.3
26.29,5,moderate,rainy,18,1,small,7,94.3
1.21,5,moderate,sunny,8,5,small,2,27.7
15.85,3,moderate,rainy,15,2,small,7,43.0
14.18,0,moderate,sunny,8,1,small,9,52.0
20.86,0,moderate,sunny,11,6,medium,4,43.2
5.32,2,heavy,windy,14,6,large,6,50.5
20.22,3,heavy,sunny,17,1,small,5,87.0
11.61,3,moderate,sunny,11,4,small,9,59.9
18.75,0,low,windy,10,2,small,6,53.0
1.68,5,moderate,sunny,19,5,small,0,37.8
14.12,2,low,sunny,10,4,large,9,65.5
15.91,3,low,sunny,14,3,medium,6,55.7
6.82,0,heavy,sunny,11,6,medium,4,31.4
4.62,4,moderate,sunny,19,5,large,2,36.9
6.06,3,moderate,sunny,15,1,medium,7,27.8
10.65,1,very_heavy,sunny,8,3,small,0,59.4
3.36,1,low,sunny,9,5,medium,1,21.1
28.45,2,low,rainy,21,3,medium,7,93.6
12.45,0,low,windy,21,0,small,2,36.0
24.36,5,low,rainy,18,5,medium,8,114.7
29.25,4,heavy,rainy,8,3,small,2,159.7
2.88,5,heavy,rainy,17,1,small,8,60.2
19.72,2,moderate,sunny,16,5,medium,7,48.0
26.21,3,low,sunny,21,6,small,7,61.5
19.21,2,moderate,sunny,14,4,small,8,75.9
13.16,2,low,sunny,14,5,small,8,43.8
13.22,3,moderate,snowy,16,1,medium,4,60.6
1.56,2,moderate,sunny,9,5,large,5,34.9
16.27,4,low,windy,18,6,medium,0,73.3
29.81,0,heavy,sunny,14,1,medium,3,103.0
28.78,1,heavy,sunny,9,6,small,5,95.5
1.69,5,moderate,sunny,19,0,medium,8,41.5
21.32,5,moderate,sunny,10,3,small,9,88.7
9.4,4,moderate,sunny,19,0,small,7,49.5
27.14,2,low,rainy,11,3,medium,1,74.9
1.83,2,low,sunny,14,4,small,2,22.4
28.11,0,moderate,rainy,13,6,large,5,96.8
25.21,1,heavy,windy,17,1,small,4,103.1
3.97,4,moderate,sunny,9,6,medium,10,45.6
2.26,2,moderate,snowy,10,6,small,2,32.4
25.12,2,moderate,sunny,9,0,medium,6,69.2
5.09,0,moderate,sunny,10,6,medium,8,17.4
16.28,2,low,sunny,13,6,small,4,38.9
27.51,4,moderate,sunny,15,0,large,2,102.7
17.24,3,heavy,sunny,19,0,medium,1,92.0
12.22,3,heavy,sunny,13,5,small,6,53.3
13.63,5,heavy,windy,13,2,medium,6,63.7
2.36,1,low,sunny,9,1,small,8,17.6
29.08,1,moderate,rainy,8,2,medium,9,95.2
9.66,3,moderate,sunny,18,2,small,10,33.3
6.09,2,low,sunny,16,6,medium,2,36.6
8.94,5,low,sunny,14,1,small,4,33.1
28.95,0,heavy,sunny,13,0,medium,3,70.9
3.28,0,moderate,sunny,14,5,large,9,18.9
26.09,2,moderate,rainy,19,5,large,1,82.9
21.38,2,low,sunny,9,6,medium,7,79.8
24.99,5,moderate,sunny,14,6,medium,3,84.3
29.29,2,low,rainy,10,0,medium,0,86.4
25.34,2,low,rainy,8,5,small,6,87.1
28.33,1,moderate,windy,17,1,medium,4,87.4
4.24,2,moderate,sunny,17,2,medium,7,31.8
23.98,3,very_heavy,rainy,19,3,small,4,148.9
16.6,3,moderate,sunny,7,6,medium,2,55.7
16.53,3,low,rainy,9,3,small,1,61.6
27.02,2,low,sunny,15,1,medium,1,77.0
29.17,0,heavy,sunny,19,0,small,4,107.8
21.29,0,low,snowy,21,4,large,2,80.9
14.75,0,low,rainy,18,5,small,1,53.7
13.96,3,moderate,rainy,20,4,small,3,40.4
11.9,5,low,sunny,19,6,medium,9,50.5
11.17,5,moderate,rainy,11,0,small,9,66.7
12.05,1,moderate,sunny,15,2,small,3,31.1
3.15,0,low,sunny,16,4,medium,5,10.1
2.78,3,heavy,sunny,12,6,large,2,45.9
23.51,0,moderate,sunny,20,2,medium,4,70.6
13.66,3,moderate,sunny,18,4,small,6,58.1
27.96,2,low,rainy,14,1,small,0,101.8
18.56,5,moderate,sunny,14,4,medium,9,51.6
1.54,3,low,rainy,18,5,medium,9,25.1
5.15,4,moderate,windy,10,5,large,10,47.5
6.57,2,low,sunny,10,3,small,2,27.7
29.28,5,very_heavy,rainy,13,3,medium,9,159.3
6.95,3,low,sunny,8,6,large,1,48.1
15.71,3,heavy,windy,13,3,small,9,58.2
28.12,2,heavy,sunny,13,2,large,1,111.6
29.33,2,moderate,sunny,14,1,small,3,73.0
7.47,5,moderate,sunny,13,4,medium,10,34.1
1.95,2,moderate,windy,20,4,small,5,9.4
5.03,0,very_heavy,sunny,11,3,medium,2,23.5
2.37,2,moderate,rainy,13,1,large,4,27.5
6.26,2,moderate,sunny,18,1,small,3,36.6
17.27,2,low,rainy,11,1,medium,10,63.1
27.42,0,heavy,sunny,16,0,small,4,90.5
16.35,0,low,sunny,21,3,small,1,45.4
18.97,1,low,sunny,12,2,medium,1,67.7
6.46,2,low,sunny,10,2,medium,6,40.2
24.12,0,moderate,rainy,9,6,small,0,77.3
18.72,2,heavy,rainy,7,1,small,2,100.4
25.99,1,heavy,sunny,11,5,small,6,93.1
28.49,0,low,sunny,19,1,small,9,65.9
10.76,1,moderate,sunny,10,4,small,1,44.3
3.17,1,heavy,rainy,21,6,small,3,31.0
7.16,0,moderate,rainy,21,5,medium,4,31.6
13.42,4,low,windy,17,4,small,9,53.1
28.4,0,moderate,windy,21,1,large,8,70.9
11.66,3,moderate,sunny,13,2,small,10,34.9
23.24,3,very_heavy,sunny,21,2,small,6,121.9
16.44,4,moderate,windy,15,5,small,1,56.0
5.89,3,low,sunny,8,2,small,10,26.8
9.96,3,heavy,sunny,19,5,medium,8,76.0
19.77,4,low,sunny,21,6,small,7,56.5
20.35,5,heavy,rainy,20,0,small,3,79.6
13.33,1,moderate,rainy,13,6,small,8,47.9
7.25,4,low,snowy,8,3,medium,4,51.3
21.8,2,moderate,sunny,15,4,small,3,52.7
5.48,0,low,sunny,20,2,small,3,19.6
28.13,3,low,sunny,19,2,small,7,56.0
6.04,5,moderate,rainy,16,3,medium,6,34.3
3.67,0,heavy,sunny,18,1,large,2,43.4
15.18,0,heavy,windy,7,5,small,3,52.4
15.83,5,moderate,sunny,16,4,small,2,62.9
15.49,3,low,rainy,8,0,small,8,62.4
13.38,1,moderate,rainy,18,1,large,3,73.3
29.85,4,moderate,sunny,7,3,small,8,106.3
14.85,2,low,rainy,15,5,medium,2,51.7
14.6,1,heavy,sunny,21,2,medium,4,58.2
12.94,1,very_heavy,rainy,8,6,small,0,73.6
2.47,3,low,rainy,13,3,medium,0,24.4
17.99,0,heavy,sunny,7,3,medium,0,57.7
7.23,2,moderate,sunny,17,0,small,0,39.9
19.31,1,low,snowy,20,4,small,10,54.8
2.0,0,moderate,windy,7,5,small,3,13.1
29.45,4,low,rainy,15,1,small,5,113.5
14.34,0,low,snowy,18,3,medium,10,60.2
26.95,5,very_heavy,sunny,7,0,medium,5,185.0
14.53,0,moderate,sunny,14,1,medium,4,37.5
2.28,2,low,sunny,8,0,medium,8,30.1
24.76,0,moderate,sunny,20,5,small,8,66.9
19.62,2,very_heavy,sunny,14,6,small,1,91.3
23.56,3,moderate,rainy,14,0,medium,10,91.4
13.13,0,heavy,sunny,21,4,small,1,42.2
19.32,3,heavy,sunny,18,4,small,3,90.6
25.76,4,moderate,rainy,11,4,medium,10,90.6
19.12,2,moderate,rainy,16,3,medium,6,46.8
10.76,0,moderate,snowy,11,6,small,6,40.5
20.04,4,heavy,sunny,14,0,medium,9,107.9
20.32,1,moderate,rainy,19,1,small,4,61.3
28.84,0,low,sunny,21,1,medium,6,69.4
11.44,2,low,sunny,21,5,medium,6,33.8
13.04,1,moderate,rainy,14,0,medium,1,50.0
24.46,0,heavy,sunny,20,0,small,3,85.3
15.42,4,heavy,rainy,20,5,medium,8,97.7
22.23,3,moderate,sunny,15,2,small,3,60.9
14.06,5,low,sunny,7,4,small,9,58.0
6.86,2,low,sunny,8,2,large,10,40.3
22.48,2,heavy,sunny,16,0,small,8,85.6
4.37,5,moderate,sunny,19,4,medium,0,46.4
6.36,0,heavy,sunny,20,0,small,8,17.5
18.99,2,low,sunny,10,3,medium,10,69.6
22.54,4,moderate,rainy,20,6,medium,8,65.6
26.89,1,heavy,sunny,19,1,small,7,115.4
8.54,5,low,rainy,14,1,medium,6,41.9
3.77,1,low,sunny,12,6,large,5,18.4
28.7,2,moderate,sunny,14,2,medium,2,79.2
5.06,5,moderate,sunny,17,2,large,5,42.6
6.33,1,very_heavy,rainy,19,4,small,10,38.1
9.09,5,heavy,windy,9,0,large,0,83.3
16.12,0,heavy,sunny,12,0,small,1,57.8
26.54,1,low,rainy,8,5,small,9,62.5
22.94,3,moderate,sunny,21,6,small,9,85.0
21.39,3,heavy,sunny,13,6,small,5,76.6
5.67,5,moderate,sunny,10,0,medium,3,45.3
11.05,5,very_heavy,sunny,10,3,small,1,97.0
14.61,4,moderate,sunny,8,5,medium,7,57.4
4.85,3,low,sunny,14,5,small,5,34.1
8.57,1,moderate,sunny,18,2,small,8,45.3
9.6,4,moderate,sunny,11,3,large,3,43.3
4.25,3,low,sunny,13,1,medium,8,35.1
16.73,0,moderate,rainy,16,0,small,10,29.9
21.3,4,heavy,windy,12,2,medium,1,107.9
2.56,2,low,sunny,18,1,large,8,30.0
14.69,2,moderate,sunny,11,6,small,6,52.7
23.58,2,moderate,sunny,13,0,small,4,68.2
22.57,4,heavy,windy,21,3,large,2,84.3
24.54,1,moderate,sunny,19,3,small,1,48.9
13.72,2,very_heavy,sunny,15,0,small,1,76.4
24.71,0,heavy,snowy,12,3,small,2,101.8
7.6,2,moderate,sunny,21,6,small,5,33.6
11.14,0,low,sunny,13,0,large,5,27.5
5.7,3,heavy,windy,12,1,large,10,41.1
14.29,5,low,windy,15,1,medium,8,64.2
12.07,2,heavy,sunny,13,0,medium,10,63.2
7.61,5,moderate,sunny,20,6,medium,8,52.4
22.68,5,moderate,sunny,10,0,medium,6,89.4
9.76,0,moderate,sunny,7,1,medium,8,28.4
8.55,3,moderate,sunny,13,5,large,8,39.8
4.36,3,heavy,sunny,21,6,small,8,29.5
13.45,2,low,rainy,7,1,small,2,51.0
9.44,4,heavy,rainy,19,2,medium,7,75.4
11.39,2,low,windy,7,1,medium,2,44.8
7.46,0,heavy,rainy,15,1,small,3,39.7
23.01,3,heavy,sunny,13,6,small,7,89.2
27.94,1,moderate,sunny,9,2,medium,5,63.8
15.19,2,low,sunny,18,4,small,8,53.8
19.47,3,heavy,sunny,9,1,large,7,84.1
26.08,4,heavy,sunny,13,1,medium,8,88.8
29.97,1,moderate,rainy,15,2,small,1,73.4
18.6,2,moderate,sunny,14,4,medium,1,67.2
26.75,0,heavy,sunny,7,6,medium,2,73.2
27.3,2,low,sunny,13,1,small,3,91.0
23.85,3,moderate,snowy,16,4,small,9,87.0
14.1,3,moderate,rainy,14,3,small,0,65.8
2.89,1,low,sunny,17,5,large,5,22.8
0.97,0,heavy,sunny,18,2,large,8,20.9
14.58,3,moderate,windy,9,2,small,3,56.9
15.08,3,heavy,sunny,19,4,medium,3,66.1
12.52,0,moderate,rainy,20,3,medium,2,37.7
17.26,3,moderate,rainy,19,5,small,4,61.5
16.79,0,moderate,rainy,19,0,small,6,51.2
25.18,2,moderate,sunny,10,2,large,6,87.1
3.71,3,heavy,windy,16,1,small,9,33.1
7.14,4,moderate,sunny,13,1,medium,0,48.0
23.89,4,heavy,sunny,21,0,medium,3,109.5
25.51,4,moderate,sunny,19,2,medium,3,96.3
29.85,1,low,sunny,9,1,small,4,78.7
26.25,5,low,sunny,21,5,small,8,58.1
26.75,2,heavy,rainy,17,3,large,1,95.0
9.77,2,moderate,windy,15,5,small,3,33.3
12.35,4,moderate,sunny,13,6,small,0,56.6
8.41,1,moderate,rainy,14,5,small,6,28.4
18.39,0,moderate,snowy,18,2,medium,10,71.0
28.19,4,moderate,sunny,18,6,small,10,92.4
10.67,3,moderate,rainy,15,2,medium,0,35.2
16.93,3,very_heavy,snowy,21,5,small,1,161.0
9.24,0,low,rainy,10,1,medium,6,35.2
5.51,3,moderate,sunny,13,6,large,2,36.0
6.26,1,low,windy,15,2,medium,2,25.2
2.21,3,heavy,rainy,9,4,medium,7,35.9
28.5,3,moderate,sunny,14,2,medium,3,75.6
12.38,4,moderate,sunny,19,1,medium,6,62.6
25.11,5,heavy,sunny,17,2,small,0,91.1
20.6,1,moderate,sunny,17,4,medium,10,74.6
6.16,0,low,sunny,9,0,small,0,18.2
5.68,3,moderate,sunny,9,1,small,0,37.7
24.45,5,low,rainy,13,6,small,4,79.0
8.31,0,heavy,rainy,11,0,small,9,28.6
27.44,2,heavy,sunny,7,5,small,7,97.1
4.63,2,heavy,sunny,15,2,medium,5,22.0
20.49,1,heavy,sunny,18,2,medium,3,65.5
24.53,3,heavy,sunny,17,2,small,2,85.0
7.44,1,moderate,rainy,8,2,small,7,30.3
8.65,2,low,sunny,18,4,medium,5,22.9
28.95,5,moderate,windy,12,5,medium,6,88.6
8.31,2,heavy,sunny,9,2,medium,4,60.0
13.18,0,heavy,sunny,14,1,small,3,32.8
13.26,5,heavy,windy,10,0,medium,1,89.4
7.96,1,low,sunny,17,5,small,3,27.6
23.39,4,low,sunny,18,6,medium,2,70.1
23.27,4,heavy,sunny,17,0,small,5,89.1
11.66,3,low,rainy,8,4,small,3,46.0
25.14,0,moderate,sunny,12,1,large,8,61.2
6.79,5,moderate,rainy,14,1,large,6,38.9
0.63,4,moderate,rainy,21,5,small,3,10.0
17.35,2,moderate,windy,15,1,small,0,66.3
29.83,5,very_heavy,rainy,16,2,large,1,194.5
1.64,4,heavy,rainy,12,0,small,0,24.5
6.64,4,moderate,rainy,11,6,large,3,60.0
15.81,1,moderate,sunny,18,6,small,3,59.6
24.39,3,heavy,rainy,19,6,small,0,114.9
3.13,1,moderate,rainy,7,1,small,7,25.4
12.16,0,moderate,sunny,15,1,medium,5,26.2
22.54,2,moderate,rainy,18,6,small,10,65.8
11.46,0,low,sunny,9,4,small,9,36.7
6.07,0,low,sunny,16,1,large,0,32.0
6.27,4,heavy,sunny,14,0,small,7,42.3
12.6,3,moderate,sunny,14,5,medium,10,35.3
14.64,2,low,sunny,15,5,small,8,52.5
25.92,1,low,sunny,20,0,medium,7,72.0
19.45,4,very_heavy,sunny,8,3,small,1,131.1
20.87,3,moderate,sunny,10,3,medium,9,76.9
29.5,3,moderate,sunny,12,3,medium,9,77.4
12.65,1,low,sunny,19,2,large,5,40.0
12.4,0,very_heavy,snowy,15,2,large,10,96.2
27.74,0,heavy,rainy,9,2,small,5,72.1
7.75,0,moderate,sunny,7,6,small,5,38.8
22.03,5,moderate,sunny,21,6,small,8,84.5
22.76,2,moderate,sunny,9,0,medium,7,77.6
3.38,3,heavy,sunny,7,5,small,6,27.7
14.31,5,heavy,sunny,13,4,medium,8,72.5
6.42,5,very_heavy,rainy,15,1,large,9,93.5
5.97,1,moderate,rainy,10,1,small,7,39.5
14.18,2,moderate,sunny,9,5,small,9,55.0
9.04,2,moderate,rainy,8,2,medium,4,43.0
23.98,0,heavy,sunny,13,0,small,5,92.6
27.27,4,low,rainy,21,6,small,7,71.3
24.18,3,low,windy,9,6,small,6,70.7
8.35,2,heavy,sunny,15,2,large,1,56.9
8.59,3,moderate,rainy,9,2,medium,5,46.8
8.01,4,heavy,rainy,17,2,small,1,92.1
4.48,0,low,sunny,7,1,small,7,19.0
28.34,3,moderate,sunny,10,0,medium,8,59.8
12.36,5,low,rainy,7,1,small,7,59.4
7.13,4,moderate,sunny,16,2,large,9,42.7
25.48,3,heavy,sunny,17,1,medium,7,78.0
12.28,0,moderate,rainy,9,0,large,4,60.0
1.54,4,moderate,sunny,13,6,medium,0,16.7
5.28,4,low,sunny,11,6,large,0,30.3
19.36,2,heavy,snowy,7,2,medium,10,93.9
23.6,3,very_heavy,sunny,7,4,medium,8,108.8
6.72,3,heavy,sunny,21,0,small,3,38.7
27.56,0,low,rainy,16,6,medium,10,64.1
25.6,1,moderate,sunny,16,5,medium,2,48.1
25.53,4,low,rainy,11,1,small,8,66.8
7.22,5,low,rainy,10,1,medium,2,35.8
1.99,1,low,sunny,18,2,small,7,34.1
26.09,2,low,sunny,13,0,small,0,86.7
9.52,5,low,windy,8,2,small,7,65.0
18.76,0,heavy,windy,14,4,small,5,76.2
22.92,1,low,sunny,14,5,small,6,56.7
4.28,0,heavy,sunny,15,0,large,0,29.4
23.53,1,heavy,sunny,15,2,medium,4,72.2
28.19,3,moderate,windy,19,5,large,1,112.2
21.99,2,moderate,rainy,10,6,large,6,88.1
13.52,5,heavy,sunny,15,3,small,0,79.7
26.36,5,low,windy,20,5,medium,9,75.5
16.06,5,moderate,sunny,21,1,small,1,50.7
22.47,4,moderate,sunny,21,6,large,5,65.6
24.7,4,heavy,rainy,17,3,small,10,124.4
22.61,3,heavy,sunny,8,4,small,4,98.6
8.99,5,heavy,rainy,21,1,small,5,70.3
3.98,0,moderate,sunny,7,1,medium,10,11.4
7.53,4,moderate,rainy,15,3,small,0,36.5
15.33,0,heavy,windy,13,3,small,6,52.9
15.41,2,heavy,sunny,17,4,large,6,76.7
17.69,1,moderate,sunny,18,5,small,7,43.6
12.16,3,very_heavy,rainy,18,5,medium,6,97.6
23.71,4,heavy,sunny,10,2,medium,5,95.5
27.44,0,moderate,rainy,18,3,small,6,82.9
7.78,3,low,sunny,18,0,small,3,28.5
22.23,1,low,sunny,7,5,small,3,70.5
20.5,0,heavy,windy,16,0,large,10,90.0
15.93,2,low,sunny,8,0,medium,7,48.8
6.06,3,moderate,sunny,15,3,small,7,33.4
23.96,1,moderate,sunny,10,6,medium,1,86.8
28.84,2,heavy,rainy,12,2,small,4,117.1
21.79,5,heavy,windy,11,1,small,2,66.7
27.58,2,heavy,sunny,19,1,small,10,103.4
29.53,5,moderate,sunny,20,5,medium,10,70.0
10.89,5,low,sunny,18,4,small,3,53.4
19.33,2,moderate,rainy,17,3,medium,4,91.7
14.48,3,low,sunny,12,6,small,7,57.1
29.61,4,moderate,sunny,9,0,medium,1,76.6
3.27,2,very_heavy,sunny,15,4,medium,6,27.4
12.67,2,moderate,sunny,13,2,small,2,41.0
26.33,1,moderate,rainy,11,1,small,5,100.6
8.88,0,moderate,sunny,10,6,medium,7,44.8
23.74,0,heavy,sunny,9,6,small,8,91.7
11.79,2,moderate,sunny,19,5,small,1,33.8
29.41,4,moderate,sunny,11,1,medium,3,74.3
26.56,1,low,sunny,20,5,medium,3,73.7
9.39,1,moderate,sunny,17,2,medium,7,34.9
23.22,1,low,sunny,9,2,small,3,49.3
10.44,3,moderate,sunny,7,1,small,5,30.3
18.39,1,heavy,sunny,13,4,medium,2,79.4
19.93,1,low,rainy,8,6,medium,3,77.5
24.97,0,moderate,sunny,21,1,small,5,70.6
1.22,1,low,sunny,20,3,small,2,22.5
6.99,1,low,rainy,16,4,small,1,34.1
21.5,4,low,sunny,11,4,small,1,71.6
17.12,5,low,sunny,20,1,large,5,48.4
15.12,2,very_heavy,rainy,16,0,small,1,83.7
2.13,0,very_heavy,sunny,12,5,medium,0,22.6
10.77,0,heavy,windy,20,4,small,9,33.0
26.02,1,moderate,sunny,10,4,small,10,100.3
1.41,2,heavy,windy,15,3,medium,5,26.3
12.19,3,heavy,rainy,17,2,medium,6,77.8
28.38,1,moderate,sunny,20,1,small,1,85.8
2.0,2,low,sunny,9,4,small,0,30.0
22.62,1,heavy,rainy,11,5,small,0,92.2
8.1,3,very_heavy,sunny,19,2,small,2,54.4
26.06,4,low,sunny,14,0,medium,1,92.2
22.51,0,moderate,windy,18,1,small,8,75.6
26.63,2,moderate,rainy,18,4,small,8,114.7
6.87,3,moderate,windy,11,1,medium,8,37.9
16.17,4,heavy,rainy,11,5,large,3,111.3
23.49,3,moderate,rainy,14,1,small,4,77.6
7.75,3,heavy,rainy,7,3,medium,3,64.5
7.31,4,heavy,rainy,18,1,small,1,63.1
1.3,2,low,windy,8,3,small,5,19.9
28.78,3,heavy,rainy,21,4,small,5,115.0
21.45,1,heavy,sunny,18,5,medium,2,83.0
19.25,2,moderate,sunny,12,5,small,3,61.6
22.45,0,moderate,sunny,8,3,large,5,90.3
16.18,2,heavy,windy,18,3,small,1,82.4
14.55,0,moderate,rainy,13,2,medium,6,54.6
13.76,1,low,sunny,9,6,small,3,63.9
19.39,2,moderate,sunny,13,5,small,7,68.2
6.45,3,low,sunny,20,6,medium,8,34.1
26.7,5,moderate,sunny,17,5,small,4,87.2
24.45,0,low,rainy,17,0,medium,3,91.8
10.81,5,moderate,rainy,14,1,medium,5,47.2
